Time mz Intensity
227.49 1672.4706490041 5.569051380546656E-16
227.49 1672.47818978274 6.266652885757588E-16
227.49 1672.48573056138 7.050137376551514E-16
227.49 1672.49327134002 7.929887920684685E-16
227.49 1672.50081211865 8.91751918225214E-16
227.49 1672.50835289729 1.002602061159603E-15
227.49 1672.51589367593 1.1269915918786645E-15
227.49 1672.52343445457 1.2665440670954924E-15
227.49 1672.53097523321 1.423074000472885E-15
227.49 1672.53851601185 1.598608868941516E-15
227.49 1672.54605679049 1.7954136009919913E-15
227.49 1672.55359756913 2.01601782049292E-15
227.49 1672.56113834777 2.2632461489726015E-15
227.49 1672.56867912641 2.5402519019835705E-15
227.49 1672.57621990505 2.850554550935183E-15
227.49 1672.58376068368 3.198081360883279E-15
227.49 1672.59130146232 3.587213662132545E-15
227.49 1672.59884224096 4.02283825171891E-15
227.49 1672.6063830196 4.510404490270473E-15
227.49 1672.61392379824 5.0559877030390306E-15
227.49 1672.62146457688 5.6663595674531075E-15
227.49 1672.62900535552 6.34906623867489E-15
227.49 1672.63654613416 7.112515043444207E-15
227.49 1672.6440869128 7.96607065920139E-15
227.49 1672.65162769144 8.920161791747596E-15
227.49 1672.65916847008 9.986399469586206E-15
227.49 1672.66670924872 1.117770818892504E-14
227.49 1672.67425002735 1.2508471270022592E-14
227.49 1672.68179080599 1.3994691938297398E-14
227.49 1672.68933158463 1.5654171760151027E-14
227.49 1672.69687236327 1.7506708296900675E-14
227.49 1672.70441314191 1.9574313965234788E-14
227.49 1672.71195392055 2.1881458334098973E-14
227.49 1672.71949469919 2.445533630381841E-14
227.49 1672.72703547783 2.7326164862112154E-14
227.49 1672.73457625647 3.0527511384151125E-14
227.49 1672.74211703511 3.409665674592143E-14
227.49 1672.74965781375 3.8074996847567327E-14
227.49 1672.75719859238 4.2508486497927055E-14
227.49 1672.76473937102 4.744813005401197E-14
227.49 1672.77228014966 5.2950523515710476E-14
227.49 1672.7798209283 5.907845345943542E-14
227.49 1672.78736170694 6.590155851849901E-14
227.49 1672.79490248558 7.34970598089347E-14
227.49 1672.80244326422 8.195056728773734E-14
227.49 1672.80998404286 9.135696973145922E-14
227.49 1672.8175248215 1.0182141677346986E-13
227.49 1672.82506560014 1.1346040226353351E-13
227.49 1672.83260637878 1.2640295912729156E-13
