Time mz Intensity
227.49 1672.4706490041 5.001718792450632E-16
227.49 1672.47818978274 5.628605786178716E-16
227.49 1672.48573056138 6.332716539526538E-16
227.49 1672.49327134002 7.123393310816399E-16
227.49 1672.50081211865 8.011087277971011E-16
227.49 1672.50835289729 9.0074875641068E-16
227.49 1672.51589367593 1.012566494821268E-15
227.49 1672.52343445457 1.1380231921952198E-15
227.49 1672.53097523321 1.2787520890261279E-15
227.49 1672.53851601185 1.4365782534130734E-15
227.49 1672.54605679049 1.613540656489531E-15
227.49 1672.55359756913 1.811916734025423E-15
227.49 1672.56113834777 2.034249707788251E-15
227.49 1672.56867912641 2.283378969794608E-15
227.49 1672.57621990505 2.562473864922189E-15
227.49 1672.58376068368 2.8750712427150953E-15
227.49 1672.59130146232 3.225117192034333E-15
227.49 1672.59884224096 3.617013406816703E-15
227.49 1672.6063830196 4.055668693928596E-15
227.49 1672.61392379824 4.546556173348149E-15
227.49 1672.62146457688 5.095776787417189E-15
227.49 1672.62900535552 5.710129798473107E-15
227.49 1672.63654613416 6.397191025484374E-15
227.49 1672.6440869128 7.165399648793487E-15
227.49 1672.65162769144 8.024154499208706E-15
227.49 1672.65916847008 8.983920842641997E-15
227.49 1672.66670924872 1.0056348776371487E-14
227.49 1672.67425002735 1.1254404467745393E-14
227.49 1672.68179080599 1.2592515604402997E-14
227.49 1672.68933158463 1.4086732530844292E-14
227.49 1672.69687236327 1.5754906757295746E-14
227.49 1672.70441314191 1.7616888640435966E-14
227.49 1672.71195392055 1.9694746254150584E-14
227.49 1672.71949469919 2.2013007664194418E-14
227.49 1672.72703547783 2.4598929046172083E-14
227.49 1672.73457625647 2.748279133324965E-14
227.49 1672.74211703511 3.0698228353873367E-14
227.49 1672.74965781375 3.428258971663538E-14
227.49 1672.75719859238 3.8277342020954696E-14
227.49 1672.76473937102 4.272851237331078E-14
227.49 1672.77228014966 4.768717846756492E-14
227.49 1672.7798209283 5.321001010662114E-14
227.49 1672.78736170694 5.93598673379335E-14
227.49 1672.79490248558 6.620646100156592E-14
227.49 1672.80244326422 7.382708202361795E-14
227.49 1672.80998404286 8.230740642397282E-14
227.49 1672.8175248215 9.174238368850986E-14
227.49 1672.82506560014 1.022372169052479E-13
227.49 1672.83260637878 1.1390844389369355E-13
227.49 1672.84014715741 1.2688512943279842E-13
227.49 1672.84768793605 1.413101798010961E-13
227.49 1672.85522871469 1.5734179156201793E-13
227.49 1672.86276949333 1.7515504830441488E-13
227.49 1672.87031027197 1.949436797386263E-13
227.49 1672.87785105061 2.1692199932583605E-13
227.49 1672.88539182925 2.4132703803293524E-13
227.49 1672.89293260789 2.6842089350226313E-13
227.49 1672.90047338653 2.9849331578574695E-13
227.49 1672.90801416517 3.31864552787892E-13
227.49 1672.91555494381 3.688884807520046E-13
227.49 1672.92309572244 4.099560474898533E-13
227.49 1672.93063650108 4.554990590445328E-13
227.49 1672.93817727972 5.059943421551492E-13
227.49 1672.94571805836 5.619683199582284E-13
227.49 1672.953258837 6.240020398375891E-13
227.49 1672.96079961564 6.927366971425667E-13
227.49 1672.96834039428 7.688797022108784E-13
227.49 1672.97588117292 8.532113425401348E-13
227.49 1672.98342195156 9.465920967270282E-13
227.49 1672.9909627302 1.04997066207554E-12
227.49 1672.99850350884 1.1643927633997011E-12
227.49 1673.00604428748 1.2910108167087208E-12
227.49 1673.01358506611 1.4310945280842181E-12
227.49 1673.02112584475 1.5860425166501002E-12
227.49 1673.02866662339 1.7573950544882387E-12
227.49 1673.03620740203 1.9468480316691736E-12
227.49 1673.04374818067 2.156268257428993E-12
227.49 1673.05128895931 2.3877102225264677E-12
227.49 1673.05882973795 2.64343445783524E-12
227.49 1673.06637051659 2.925927636331897E-12
227.49 1673.07391129523 3.237924578686718E-12
227.49 1673.08145207387 3.5824323371905568E-12
227.49 1673.08899285251 3.962756547726711E-12
227.49 1673.09653363114 4.3825302561397526E-12
227.49 1673.10407440978 4.84574544727039E-12
227.49 1673.11161518842 5.356787512635708E-12
227.49 1673.11915596706 5.920472934052384E-12
227.49 1673.1266967457 6.542090464028931E-12
227.49 1673.13423752434 7.227446120169894E-12
227.49 1673.14177830298 7.98291233474032E-12
227.49 1673.14931908162 8.815481630087489E-12
227.49 1673.15685986026 9.732825222343097E-12
227.49 1673.1644006389 1.0743356990971095E-11
227.49 1673.17194141754 1.1856303288491897E-11
227.49 1673.17948219617 1.3081779103195285E-11
227.49 1673.18702297481 1.4430871143952456E-11
227.49 1673.19456375345 1.5915728427905356E-11
227.49 1673.20210453209 1.7549661059775288E-11
227.49 1673.20964531073 1.9347247891425786E-11
227.49 1673.21718608937 2.1324453842273074E-11
227.49 1673.22472686801 2.3498757714150995E-11
227.49 1673.23226764665 2.588929140679177E-11
227.49 1673.23980842529 2.8516991513718662E-11
227.49 1673.24734920393 3.140476435880922E-11
227.49 1673.25488998257 3.457766562311449E-11
227.49 1673.2624307612 3.8063095799023474E-11
227.49 1673.26997153984 4.1891012843199456E-11
227.49 1673.27751231848 4.6094163412898924E-11
227.49 1673.28505309712 5.0708334348438375E-11
227.49 1673.29259387576 5.5772626030311784E-11
227.49 1673.3001346544 6.132974947484086E-11
227.49 1673.30767543304 6.74263491450911E-11
227.49 1673.31521621168 7.411335361565682E-11
227.49 1673.32275699032 8.144635640522709E-11
227.49 1673.33029776896 8.948602947014478E-11
227.49 1673.3378385476 9.829857204814578E-11
227.49 1673.34537932623 1.0795619774644497E-10
227.49 1673.35292010487 1.1853766308343925E-10
227.49 1673.36046088351 1.3012884066252467E-10
227.49 1673.36800166215 1.4282334087860418E-10
227.49 1673.37554244079 1.5672318588845024E-10
227.49 1673.38308321943 1.7193954014068977E-10
227.49 1673.39062399807 1.8859350201095527E-10
227.49 1673.39816477671 2.0681696143990097E-10
227.49 1673.40570555535 2.2675352884357023E-10
227.49 1673.41324633399 2.4855954098178205E-10
227.49 1673.42078711263 2.724051498885578E-10
227.49 1673.42832789127 2.984755014265131E-10
227.49 1673.4358686699 3.269720105009761E-10
227.49 1673.44340944854 3.5811374075608897E-10
227.49 1673.45095022718 3.9213889632939716E-10
227.49 1673.45849100582 4.2930643520275105E-10
227.49 1673.46603178446 4.6989781300312E-10
227.49 1673.4735725631 5.142188675736881E-10
227.49 1673.48111334174 5.626018551548802E-10
227.49 1673.48865412038 6.154076498183907E-10
227.49 1673.49619489902 6.730281186387283E-10
227.49 1673.50373567766 7.358886860362618E-10
